Timestamp,Equipment_ID,Pressure,Temperature,Vibration,Airflow_Rate,Chemical_Concentration,Maintenance_Last_Date,Maintenance_Frequency,Operational_Hours,Environmental_Temperature,Environmental_Humidity,Worker_Presence,Safety_Protocol_Compliance,Incident_History,Incident_Risk
2025-06-01 00:00:00,SD_002,5.15,74.32,0.52,2.61,10.13,2025-03-13,7,82.46,27.83,89.5,8,False,0,False
2025-06-01 00:15:00,AHU_002,5.23,87.85,0.5,2.38,11.52,2025-04-22,5,12.74,23.91,85.0,5,True,2,False
2025-06-01 00:30:00,AHU_002,4.95,80.24,0.51,2.34,9.84,2025-03-08,2,139.94,26.95,65.2,9,True,1,False
2025-06-01 00:45:00,AHU_001,5.01,85.44,0.38,2.39,10.11,2025-04-24,7,49.18,25.16,87.66,3,True,1,False
2025-06-01 01:00:00,AHU_002,4.93,85.22,0.48,2.49,12.04,2025-04-18,0,119.28,26.23,63.71,6,True,1,False
2025-06-01 01:15:00,AHU_002,5.51,75.16,0.35,2.11,6.83,2025-03-14,1,14.14,26.72,81.07,9,False,2,False
2025-06-01 01:30:00,SD_001,5.0,86.08,0.45,2.7,11.47,2025-04-04,6,24.04,30.35,87.16,2,True,0,False
2025-06-01 01:45:00,SD_002,5.38,82.52,0.44,1.7,10.68,2025-03-10,7,1.15,32.61,88.55,3,True,3,False
2025-06-01 02:00:00,SD_001,4.78,74.8,0.43,2.66,6.75,2025-05-02,8,43.57,29.88,88.31,9,True,0,False
2025-06-01 02:15:00,SD_001,5.1,82.24,0.39,2.59,11.4,2025-05-18,0,26.14,24.6,82.38,4,True,2,False
2025-06-01 02:30:00,AHU_001,4.6,74.89,0.53,2.65,13.61,2025-05-10,8,58.73,26.49,53.7,8,True,2,False
2025-06-01 02:45:00,AHU_002,5.61,88.03,0.47,1.92,10.67,2025-05-22,1,40.82,25.61,89.53,1,True,0,False
2025-06-01 03:00:00,SD_002,4.58,84.07,0.46,2.59,11.11,2025-03-07,7,52.72,21.42,76.77,7,True,1,False
2025-06-01 03:15:00,SD_002,4.84,79.64,0.36,2.34,7.87,2025-05-22,6,25.74,27.14,81.08,3,False,0,False
2025-06-01 03:30:00,SD_002,4.84,86.32,0.47,2.98,8.76,2025-03-26,5,35.52,29.13,77.97,7,True,1,False
2025-06-01 03:45:00,AHU_002,4.82,72.09,0.61,2.61,7.96,2025-04-16,5,56.4,21.66,64.38,4,True,0,False
2025-06-01 04:00:00,SD_002,5.36,76.25,0.62,2.15,10.79,2025-04-02,2,87.26,24.58,62.47,10,True,0,False
2025-06-01 04:15:00,SD_002,4.84,78.74,0.54,1.99,8.96,2025-05-07,4,52.55,24.19,54.84,8,True,0,False
2025-06-01 04:30:00,AHU_002,5.7,91.18,0.47,2.32,8.84,2025-05-08,1,37.49,27.84,37.52,5,True,1,False
2025-06-01 04:45:00,AHU_001,4.59,74.65,0.56,2.74,11.41,2025-04-13,4,127.31,28.48,67.76,1,True,5,True
2025-06-01 05:00:00,SD_002,5.08,71.46,0.43,2.85,13.34,2025-04-08,10,72.52,32.68,49.29,1,True,0,False
2025-06-01 05:15:00,AHU_002,4.61,72.78,0.47,2.55,9.82,2025-05-03,2,120.67,27.13,41.52,7,True,3,False
2025-06-01 05:30:00,SD_001,5.21,84.53,0.43,2.52,6.85,2025-05-06,8,79.9,29.54,45.71,3,True,0,False
2025-06-01 05:45:00,AHU_002,4.99,77.03,0.59,2.4,10.08,2025-03-05,0,82.74,26.64,53.23,9,True,1,False
2025-06-01 06:00:00,SD_001,4.92,79.2,0.58,2.49,10.38,2025-03-16,2,75.23,25.79,30.47,7,True,0,False
2025-06-01 06:15:00,AHU_002,5.59,83.81,0.5,2.86,11.66,2025-04-16,0,170.51,25.81,50.95,8,True,1,False
