charging_station_id,latitude,longitude,station_type,power_output_kw,num_connectors,charging_demand_kwh,num_vehicles_charged,avg_wait_time_minutes,traffic_density,ev_adoption_rate,population_density,time_of_day,day_of_week,weather_condition,temperature_c,grid_load_mw,renewable_energy_share,distance_to_nearest_station,poi_density,user_battery_level,is_optimal_location
CS_0000,12.912362035654208,77.51209224554002,DC Fast Charger,22.0,4,74.3,19,5.5,483.2,35.8,22348.0,16,6,Rain,22.2,193.6,41.1,0.07,21.6,52.7,1
CS_0001,13.085214291922975,77.49987362886942,DC Fast Charger,22.0,2,103.2,15,4.7,458.6,27.0,7507.6,18,4,Clear,19.6,377.4,82.2,1.79,24.6,45.2,0
CS_0002,13.01959818254342,77.45284617375086,DC Fast Charger,7.2,9,129.9,10,0.7,411.0,29.0,6378.5,16,2,Cloudy,31.8,199.6,86.6,2.87,24.6,66.1,1
CS_0003,12.97959754525911,77.58218000103045,Level 2,50.0,5,64.8,7,2.5,254.1,34.0,21527.5,18,1,Extreme,27.9,373.2,69.2,2.13,7.2,66.1,0
CS_0004,12.846805592132732,77.5429872481526,Level 2,100.0,5,54.0,2,11.6,89.7,8.6,24070.9,15,7,Rain,15.1,124.3,30.9,2.13,28.6,64.9,0
CS_0005,12.84679835610086,77.6597102976972,Level 2,100.0,4,101.5,13,16.1,333.8,21.6,9114.8,20,7,Cloudy,33.0,347.9,59.5,2.91,21.8,81.3,0
CS_0006,12.81742508365046,77.40963287414462,DC Fast Charger,50.0,3,77.0,16,2.8,230.9,8.0,20145.8,20,7,Clear,30.1,253.5,30.2,1.51,20.8,56.9,0
CS_0007,13.05985284373248,77.59316037826655,Level 2,7.2,5,101.0,8,0.0,359.2,7.6,8250.9,12,6,Rain,27.5,252.8,55.9,2.9,24.4,29.5,1
CS_0008,12.980334503522963,77.62888466355348,DC Fast Charger,100.0,6,109.6,1,3.5,149.4,30.2,18615.0,4,6,Clear,29.7,279.0,41.2,0.5,23.5,71.8,0
CS_0009,13.012421773338813,77.6278459707565,Level 2,150.0,8,35.7,17,1.3,394.1,32.6,18594.8,16,4,Rain,27.4,299.0,71.1,1.04,6.3,59.1,0
CS_0010,12.806175348288741,77.66582219012867,Level 2,100.0,4,120.7,15,1.0,126.8,6.8,13586.1,19,2,Clear,26.2,345.5,81.7,2.15,18.2,63.9,0
CS_0011,13.090972955648597,77.61871012284885,Level 2,7.2,2,64.9,14,1.7,413.9,34.5,22640.2,21,4,Extreme,28.4,116.1,11.1,0.36,24.5,54.3,0
